,id,image_name,objects,merchant_name,lat,lng,address,area_id
0,10000,10000.jpg,,HOWLADER ENTERPRISE,23.8060112,90.3695387,"1/11, SHENPARA PARBATA, MIRPUR-10, DHAKA-1216",1588
1,100051,100051.jpg,,ROBIN TEA STORE,23.8261607,90.3569771,"DUARIPARA MAIN ROAD, RUPNAGAR, MIRPUR, DHAKA-1216",5129
2,100129,100129.jpg,,DE LOI KHA STORE,23.8062222,90.3450715,"ROAD-06,GUDARAGAT,MIRPUR-1,DHAKA-1216",5131
3,100147,100147.jpg,,SUMAIYA STORE,23.822251,90.356874,"HOUSE#309, ROAD#11, RUPNAGAR TIN SHED, MIRPUR, DHAKA-1216",5129
4,10015,10015.jpg,,MOONTAHA STORE,23.8156164,90.3635915,"SEC-7, ROAD-2, HOUSE-399/400, MIRPUR, DHAKA",5129
5,10018,10018.jpg,no_dan_cake,VAI VAI GENERAL STORE,23.8158547,90.3631017,"HOUSE-459,ROAD 4 ,MIRPUR 7, 1216",5129
6,100185,100185.jpg,,FIROZ STORE,23.8218144,90.3552723,"ROAD-5, DUARIPARA, RUPNAGAR, MIRPUR, DHAKA-1216",5129
7,10022,10022.jpg,"no_dan_cake,no_cake",KOHENUR STORE,23.8161852,90.3629345,"H-502, ROAD 4, SECTION 7.MIRPUR , DHAKA-1216",5129
8,100239,100239.jpg,,SHIRINA STORE,23.8218181,90.3551647,"HOUSE#45/8, ROAD#09, RUPNAGAR TIN SHED, MIRPUR, DHAKA-1216",5129
9,10024,10024.jpg,no_dan_cake,DHUI VAI GEN. STORE,23.8216479,90.3709887,"SECTION-12, BLOCK-DHA, HOUSE-372, ROAD-3, MIRPUR",5125
10,100255,100255.jpg,,LAMIA TELECOM,23.823948,90.370868,"B-DHA, R-16/4, H-20 MIRPUR DHAKA 1216",5125
11,10026,10026.jpg,"no_dan_cake,dan_cake",BISMILLAH TEA STORE,23.8158098,90.3642874,"HOUSE-386, ROAD-2, SEC-7, MIRPUR, PALLABI, DHAKA",5129
12,100289,100289.jpg,,SALAM TEA STORE,23.8340037,90.3709186,"SEC-12,UTTOR KALSHI,B-PA,PALLABI MIRPUR DHAKA 1216",1665
13,10034,10034.jpg,,NUR GENERAL STORE,23.8172883,90.3626861,"H-658. ROAD- 4. PALLABI. MIRPUR -7,1216",5129
14,100349,100349.jpg,,SABBIR STORE,23.8349816,90.3709524,"UTTOR KALSHI,HINDUPARA,PALLABI,MIRPUR-12,DHAKA-1216",1665
15,100366,100366.jpg,,BISMILLAH STORE,23.8226671,90.3569326,"ROAD NO-13, RUPNAGAR TINSHED, MIRPUR, DHAKA-1216",5129
